Id,age,sex,dayswfreq,tbilled,maccess,freeuse,nentries,cfreq,nrenewals,cref,startDate,months,dropout
00130FE8-5D34-4C66-9819-1EB0BFE69979,23,1,7,37.6,1.35,0,6,7,0,0,2017-05-02 09:43:11.320,1,1
0016D0DD-E713-4EDC-BAA3-386AB4CE6779,34,1,328,205.6,0.54,0,39,7,2,0,2016-04-20 18:33:21.170,19,0
001A70CA-0985-42D1-A0C0-6D70BEC00BFB,24,0,3,140,0.8,0,28,7,0,0,2015-12-01 19:47:59.513,8,1
001B9AC2-7711-4384-BF9D-C5205F68BDFC,20,1,41,71.6,1,0,13,7,0,0,2015-10-06 16:33:47.983,3,1
001D927E-ACD2-4B3D-ACDA-1480F6A31F3E,21,1,18,113.2,0.08,0,7,7,3,0,2015-03-25 15:25:11.383,24,1
00392117-8F5B-46EF-8935-2ABCD5FA41D2,20,0,38,118.6,0.33,0,11,7,2,0,2015-03-25 14:05:49.127,10,1
004D14E5-FAD5-43E0-AC52-82DB5A7225CC,26,1,279,53.2,0.16,0,6,7,1,0,2014-12-02 17:22:53.227,9,1
0069B925-0586-4E75-8B29-F412121D6ADE,44,0,45,314.7,0.93,,52,7,2,0,2015-04-17 08:06:58.267,15,1
0083CE4F-47A8-45B7-8EA6-A62EA11DDC42,20,0,56,201.7,0.31,,27,7,3,0,2015-10-02 12:06:18.107,22,1
0088A9D2-5494-4855-AC1B-FC43280E82D2,21,0,4,73.6,2.26,,21,7,0,0,2017-02-28 12:44:06.287,3,1
009BD52A-653D-4FE2-991A-560D742DBA90,21,1,92,37.6,0.11,,1,7,1,0,2015-06-15 10:07:56.687,3,1
00C476BE-79D1-45F2-A4FD-37174F4DF381,26,0,39,188.6,1.06,,28,7,0,0,2016-01-29 12:50:46.593,7,1
00CE4619-8373-490E-B32B-5DFBD99D715D,22,0,292,73.7,0.63,0,29,7,1,0,2014-10-01 08:15:05.293,11,1
00F65992-27E0-4E3E-9586-EFCDB9DCBECF,32,1,204,240.5,0.11,0,11,7,2,0,2015-10-28 13:22:34.387,25,0
01108838-6A61-427F-8FD3-0066C807B351,20,1,21,95.6,0.33,0,8,7,0,0,2016-09-20 16:33:05.843,6,1
0111E20D-C2D4-4DFA-AE0A-43736A399F47,50,0,15,1238.4,1.22,0,163,7,3,0,2015-01-19 19:21:54.477,34,0
01124D01-66BF-4DE4-A911-0FACB7FCCC4C,21,0,133,73.6,0.62,0,15,7,1,0,2015-03-04 18:10:24.353,6,1
011481B1-E9C3-451C-AB03-D2FCFAF8E353,43,1,1,76.6,0.34,0,5,7,0,0,2016-01-23 11:05:24.340,4,1
01173153-FA2E-44C5-A334-35183324E84C,23,0,25,45.1,0.04,0,1,7,0,0,2016-10-12 14:50:26.803,6,1
011BB262-23CA-461F-9EAC-ACF11BECE3C8,41,0,7,614.2,2.69,0,147,7,1,0,2016-09-16 14:00:48.857,14,0
